Date,Open,High,Low,Close,Adj Close,Volume
2020-02-11,233.250000,234.020004,231.399994,232.009995,230.138565,30198000
2020-02-12,233.380005,234.380005,232.800003,234.270004,232.380371,24471300
2020-02-13,232.639999,234.929993,232.360001,233.970001,232.082794,22773200
2020-02-14,234.339996,234.860001,233.550003,234.639999,232.747375,23438500
2020-02-18,233.500000,235.169998,233.250000,234.729996,232.836639,24394500
2020-02-19,236.130005,237.470001,235.850006,236.979996,235.068512,22230500
2020-02-20,236.460007,236.949997,231.880005,234.779999,232.886246,42604000
2020-02-21,233.610001,234.009995,229.320007,230.270004,228.412628,66017200
2020-02-24,221.679993,224.250000,220.259995,221.389999,219.604248,84522600
2020-02-25,223.250000,223.990005,214.740005,215.369995,213.632797,97743000
2020-02-26,216.710007,220.279999,214.899994,216.479996,214.733856,79537700
2020-02-27,210.899994,216.419998,205.500000,205.639999,203.981293,121822600
2020-02-28,198.639999,207.169998,198.169998,205.800003,204.140015,148173700
2020-03-02,208.880005,216.570007,205.940002,216.419998,214.674347,112933900
2020-03-03,217.110001,219.610001,207.619995,209.479996,207.790314,131953500
2020-03-04,213.320007,218.330002,211.369995,218.220001,216.459824,73086200
2020-03-05,212.690002,216.360001,210.100006,211.589996,209.883301,78705500
2020-03-06,204.669998,209.149994,202.910004,208.020004,206.342117,89828400
2020-03-09,193.479996,201.160004,192.110001,193.570007,192.008667,116424000
2020-03-10,201.110001,204.300003,193.679993,204.110001,202.463638,100599200
2020-03-11,199.350006,200.750000,192.729996,195.220001,193.645355,89168800
2020-03-12,182.089996,190.779999,176.940002,177.320007,175.889740,137820700
2020-03-13,187.070007,194.479996,178.130005,192.339996,190.788589,134882000
2020-03-16,174.149994,184.679993,169.160004,169.300003,167.934418,92054400
2020-03-17,175.470001,184.389999,169.779999,182.139999,180.670837,121257100
2020-03-18,171.610001,179.220001,166.800003,176.600006,175.175552,114156300
2020-03-19,175.690002,183.490005,171.630005,177.660004,176.227005,120896500
2020-03-20,181.740005,182.869995,170.100006,170.699997,169.323151,118983900
2020-03-23,170.919998,174.210007,164.929993,170.460007,169.445389,124639800
2020-03-24,179.910004,183.830002,177.949997,183.660004,182.566818,94881800
2020-03-25,184.419998,189.509995,179.979996,182.300003,181.214920,88754900
2020-03-26,183.869995,192.720001,183.610001,191.899994,190.757767,79887600
2020-03-27,186.929993,190.509995,184.660004,185.300003,184.197067,58845000
2020-03-30,187.059998,192.490005,186.339996,192.039993,190.896957,49356900
2020-03-31,191.720001,195.250000,189.199997,190.399994,189.266708,62659300
2020-04-01,184.770004,187.660004,180.860001,182.309998,181.224854,53715400
2020-04-02,181.240005,190.100006,180.970001,186.009995,184.902817,56465300
2020-04-03,185.550003,187.070007,181.289993,183.369995,182.278549,47487600
2020-04-06,190.479996,197.649994,189.190002,196.479996,195.310516,64763500
2020-04-07,202.369995,202.660004,196.000000,196.399994,195.230988,69904500
2020-04-08,198.149994,201.169998,196.169998,200.570007,199.376175,45940400
2020-04-09,202.350006,203.220001,199.029999,200.860001,199.664444,68252600
2020-04-13,200.000000,203.419998,198.750000,203.029999,201.821518,42853900
2020-04-14,207.229996,212.500000,206.419998,211.860001,210.598969,63959600
2020-04-15,208.479996,211.830002,207.119995,209.429993,208.183426,47036000
2020-04-16,211.690002,214.369995,209.690002,213.250000,211.980698,64657400
2020-04-17,216.169998,216.509995,212.080002,215.289993,214.008545,62863200
2020-04-20,213.360001,215.880005,212.570007,212.740005,211.473740,38249100
2020-04-21,210.600006,211.160004,203.630005,204.889999,203.670471,72932800
2020-04-22,209.100006,212.350006,208.330002,210.970001,209.714264,40089100
2020-04-23,211.789993,214.440002,210.100006,210.520004,209.266937,43278500
2020-04-24,210.970001,214.300003,209.500000,213.839996,212.567184,34231900
2020-04-27,216.190002,216.630005,214.500000,215.559998,214.276947,36451700
2020-04-28,217.320007,217.320007,211.210007,211.500000,210.241119,46862800
2020-04-29,216.190002,219.970001,215.139999,219.000000,217.696457,48716400
2020-04-30,219.949997,220.039993,217.350006,218.910004,217.607010,43359500
2020-05-01,214.500000,216.669998,211.679993,212.740005,211.473740,48795000
2020-05-04,211.460007,215.449997,211.119995,215.220001,213.938980,32841000
2020-05-05,217.440002,220.139999,216.850006,217.660004,216.364456,37783100
2020-05-06,219.399994,221.039993,218.110001,219.000000,217.696457,36455200
2020-05-07,221.820007,222.729996,220.419998,221.820007,220.499710,38624800
2020-05-08,223.550003,225.000000,222.479996,224.860001,223.521606,31852300
2020-05-11,223.490005,227.929993,223.250000,226.869995,225.519638,35714100
2020-05-12,227.490005,228.100006,222.089996,222.119995,220.797913,41054100
2020-05-13,222.660004,224.610001,216.710007,219.339996,218.034454,65521200
2020-05-14,217.970001,221.869995,215.990005,221.830002,220.509628,51549300
2020-05-15,218.779999,223.330002,218.330002,223.270004,221.941071,55747200
2020-05-18,226.279999,228.679993,225.470001,227.429993,226.076263,42398100
2020-05-19,227.699997,229.850006,226.710007,226.860001,225.509674,36237300
2020-05-20,229.500000,231.759995,229.479996,231.389999,230.012726,37417000
2020-05-21,231.440002,232.139999,228.339996,228.869995,227.507721,43642900
2020-05-22,228.449997,229.869995,227.500000,229.660004,228.293045,28762400
2020-05-26,233.360001,233.570007,228.789993,229.039993,227.676712,33055300
2020-05-27,228.690002,230.410004,223.940002,230.289993,228.919266,55665600
2020-05-28,229.110001,233.470001,229.050003,229.990005,228.621063,42784300
2020-05-29,230.380005,233.600006,228.759995,233.360001,231.971008,50691800
2020-06-01,232.460007,234.449997,232.000000,234.059998,232.666824,25776000
2020-06-02,234.500000,235.690002,232.009995,235.630005,234.227493,33383400
2020-06-03,236.259995,237.470001,235.350006,236.690002,235.281189,37228700
2020-06-04,236.330002,237.789993,233.679993,235.029999,233.631058,38716100
2020-06-05,236.220001,240.300003,235.630005,239.690002,238.263336,47365600
2020-06-08,239.539993,241.679993,237.910004,241.550003,240.112244,32937300
2020-06-09,240.660004,244.179993,240.470001,243.300003,241.851837,35046300
2020-06-10,245.050003,247.820007,244.509995,246.220001,244.754456,58084400
2020-06-11,242.160004,243.589996,233.960007,234.020004,232.627075,72919400
2020-06-12,239.089996,240.399994,231.740005,235.880005,234.475998,72034800
2020-06-15,232.440002,239.449997,231.470001,238.750000,237.328934,45307400
2020-06-16,243.779999,244.389999,239.100006,242.850006,241.404510,48890100
2020-06-17,244.399994,245.500000,242.729996,243.619995,242.169922,34749300
2020-06-18,243.289993,244.529999,242.490005,244.279999,242.825989,30578600
2020-06-19,246.729996,247.000000,242.449997,244.240005,242.786255,49422100
2020-06-22,243.679993,246.869995,243.380005,246.740005,245.697891,24068700
2020-06-23,248.389999,251.149994,247.820007,248.839996,247.789017,32767400
2020-06-24,248.059998,249.330002,242.160004,243.710007,242.680679,46032400
2020-06-25,243.800003,246.339996,241.139999,246.029999,244.990875,36940800
2020-06-26,245.779999,245.960007,239.679993,240.220001,239.205414,52824600
2020-06-29,239.970001,242.850006,237.350006,242.839996,241.814346,34377800
2020-06-30,242.770004,248.160004,242.580002,247.600006,246.554260,38909200
2020-07-01,247.639999,251.520004,247.080002,250.490005,249.432053,34689200
2020-07-02,253.020004,254.270004,251.710007,252.190002,251.124878,31956500
2020-07-06,255.449997,258.929993,255.429993,258.390015,257.298706,34589000
2020-07-07,258.130005,260.880005,256.299988,256.609985,255.526169,36578200
2020-07-08,257.980011,260.019989,256.500000,259.989990,258.891907,30426300
2020-07-09,261.970001,262.869995,257.630005,262.179993,261.072662,40312900
2020-07-10,262.029999,264.230011,259.260010,263.970001,262.855133,32885300
2020-07-13,266.910004,269.790009,257.690002,258.540009,257.448059,64108100
2020-07-14,255.929993,260.790009,252.759995,260.369995,259.270294,72230500
2020-07-15,261.829987,262.690002,257.489990,260.899994,259.798065,54523900
2020-07-16,258.019989,259.779999,255.619995,259.119995,258.025604,47594100
2020-07-17,259.589996,260.309998,257.170013,259.420013,258.324371,35137900
2020-07-20,260.079987,267.429993,258.790009,266.779999,265.653229,40610100
2020-07-21,268.399994,268.410004,263.130005,264.000000,262.885010,43243800
2020-07-22,264.510010,265.890015,262.549988,264.929993,263.811035,29865500
2020-07-23,264.510010,265.239990,256.549988,258.010010,256.920288,51363500
2020-07-24,254.039993,256.929993,251.320007,255.559998,254.480637,54054500
2020-07-27,257.260010,260.519989,256.450012,260.119995,259.021362,36445700
2020-07-28,259.309998,259.850006,256.510010,256.809998,255.725327,31302400
2020-07-29,258.399994,260.660004,257.910004,259.769989,258.672852,27556900
2020-07-30,257.739990,261.709991,256.549988,261.130005,260.027100,41774500
2020-07-31,265.910004,265.950012,260.850006,265.790009,264.667450,53686300
2020-08-03,268.000000,270.149994,267.869995,269.380005,268.242279,32081600
2020-08-04,268.859985,270.480011,268.089996,270.380005,269.238037,24911300
2020-08-05,270.880005,271.519989,269.959991,271.049988,269.905212,21612100
2020-08-06,270.850006,274.980011,270.190002,274.640015,273.480072,28048200
2020-08-07,274.079987,274.880005,269.250000,271.470001,270.323425,44969400
2020-08-10,271.769989,271.980011,266.670013,270.309998,269.168335,35088400
2020-08-11,269.109985,270.440002,264.630005,265.190002,264.069946,43104300
2020-08-12,267.420013,272.839996,267.369995,271.859985,270.711761,38773400
2020-08-13,272.660004,274.829987,271.510010,272.480011,271.329193,31895700
2020-08-14,273.119995,273.399994,270.720001,272.160004,271.010529,30799500
2020-08-17,273.929993,275.839996,272.200012,275.320007,274.157196,24803000
2020-08-18,276.420013,278.459991,274.910004,277.970001,276.795990,23529500
2020-08-19,277.929993,279.019989,275.570007,276.100006,274.933899,31999400
2020-08-20,275.279999,280.429993,274.859985,279.929993,278.747711,27723400
2020-08-21,280.130005,282.339996,279.459991,281.869995,280.679504,34748900
2020-08-24,285.250000,286.000000,281.269989,283.630005,282.432098,36418500
2020-08-25,282.829987,286.059998,282.369995,285.859985,284.652649,34866600
2020-08-26,287.149994,292.220001,285.829987,291.959991,290.726898,42216700
2020-08-27,292.970001,293.850006,288.709991,291.049988,289.820740,49482700
2020-08-28,292.329987,293.179993,290.929993,292.529999,291.294495,28021000
2020-08-31,293.070007,296.750000,292.619995,294.880005,293.634552,36321000
2020-09-01,297.619995,300.040009,295.790009,299.920013,298.653320,36216200
2020-09-02,303.279999,303.500000,296.890015,302.760010,301.481262,50836800
2020-09-03,298.100006,298.619995,284.410004,287.410004,286.196106,110083300
2020-09-04,285.559998,288.929993,271.799988,283.579987,282.382263,123959000
2020-09-08,272.220001,278.220001,269.660004,269.950012,268.809845,99568600
